"","Codigo","Area_natur","Periodo","Base_legal","Fecha_lega","Base_leg00","Fecha_le00","Base_leg01","Fecha_le01","Superficie"
"1","RC04","Ashaninka","2019-2023","R.P. Nº 239-2012-SERNANP",2012-12-28,NA,1899-12-30,"R.P. N° 034-2019-SERNANP",2019-01-29,325684.03
"2","BP03","de Pui Pui","2019-2023","R.J. Nº 285-2008 INRENA",2008-10-28,NA,1899-12-30,"R.P. N° 033-2019-SERNANP",2019-01-29,45367.2
"3","RN12","Matsés","2023-2027","R.P. Nº 054-2014-SERNANP-J",2014-02-27,NA,1899-12-30,"R.P N° 320-2022-SERNANP",2022-12-29,231397.76
"4","RN10","Allpahuayo Mishana","2022-2026","R.J. Nº 159-2007 INRENA",2007-07-24,NA,1899-12-30,"R.P. N° 082-2022-SERNANP",2022-03-15,65956.53
"5","RN06","de Salinas y Aguada Blanca","2016-2020","R.J. Nº 087-2007 INRENA",2007-04-26,NA,1899-12-30,"R.P. N° 257-2016-SERNANP",2016-09-14,310242.1
"6","RN02","de Junín","2008-2012","R.J. Nº 145-2008 INRENA",2008-06-03,NA,1899-12-30,NA,1899-12-30,100858.12
"7","RN01","Pampa Galeras Barbara D' Achille","2022-2026","R.J. Nº 331-2001 INRENA",2001-12-13,NA,1899-12-30,"R.P. N° 069-2022-SERNANP",2022-03-02,14530.51
"8","SH04","Bosque de Pomac","2017-2021","R.P. Nº 006-2011-SERNANP",2011-01-19,NA,1899-12-30,"R.P. N° 91-2017-SERNANP",2017-03-31,9291.39
"9","SH02","de la Pampa de Ayacucho","2016-2020","R.P. N° 019-2016-SERNANP",2016-01-29,NA,1899-12-30,NA,1899-12-30,429.19
"10","SH01","de Chacamarca","2002-2007","R.J. Nº 466-2002-INRENA",2002-12-20,NA,1899-12-30,NA,1899-12-30,1332.28
"11","SN09","Cordillera de Colán","2016-2020","R.P. Nº 026-2011-SERNANP",2011-02-18,NA,1899-12-30,"R.P. N° 140-2016-SERNANP",2016-06-06,18866.71
"12","SN08","Tabaconas-Namballe","2023-2027","R.J. Nº 015-2007 INRENA",2007-01-22,NA,1899-12-30,"R.P. N° 338-2022-SERNANP",2022-12-29,44993.9
"13","SN04","de Ampay","2015-2019","R.P. Nº 168-2015-SERNANP",2014-12-22,NA,1899-12-30,"R.P. Nº 012-2022-SERNANP",2022-01-13,5702.07
"14","SN01","de Huayllay","2018-2022","R.J. Nº 325-2001 INRENA",2001-12-13,NA,1899-12-30,"R.P. N° 268-2018-SERNANP",2018-11-05,4843.62
"15","PN14","Sierra del Divisor","2023-2027","R.P. N° 295-2016-SERNANP",2016-11-07,NA,1899-12-30,"R.P. N° 043-2023-SERNANP",2023-02-01,362286.24
"16","PN14","Sierra del Divisor","2023-2027","R.P. N° 295-2016-SERNANP",2016-11-07,NA,1899-12-30,"R.P. N° 043-2023-SERNANP",2023-02-01,260177.68
"17","PN14","Sierra del Divisor","2023-2027","R.P. N° 295-2016-SERNANP",2016-11-07,NA,1899-12-30,"R.P. N° 043-2023-SERNANP",2023-02-01,9106.53
"18","PN09","Cordillera Azul","2017-2021","R.P. Nº 064-2011-SERNANP",2011-04-14,NA,1899-12-30,"R.P. N° 032-2017-SERNANP",2017-01-31,2304596.68
"19","PN08","Bahuaja-Sonene","2015-2019","R.P. Nº 111-2015-SERNANP",2015-06-10,NA,1899-12-30,NA,1899-12-30,261127.28
"20","PN05","Cerros de Amotape","2012-2017","R.P. N° 039-2012-SERNANP",2012-02-17,"Ley N° 30359",2015-11-11,NA,1899-12-30,66699
"21","PN05","Cerros de Amotape","2012-2017","R.P. N° 039-2012-SERNANP",2012-02-17,"Ley N° 30359",2015-11-11,NA,1899-12-30,3492.4
"22","PN05","Cerros de Amotape","2012-2017","R.P. N° 039-2012-SERNANP",2012-02-17,"Ley N° 30359",2015-11-11,NA,1899-12-30,21614.02
"23","PN04","Huascarán","2017-2021","R.P. Nº 241-2010-SERNANP",2010-12-30,NA,1899-12-30,"R.P. N° 64-2017-SERNANP",2017-02-28,178434.11
"24","PN03","del Manu","2019-2023","R.P. Nº 087-2013-SERNANP",2013-05-22,NA,1899-12-30,"R.P. N° 337-2018-SERNANP",2018-12-31,392819.65
"25","PN03","del Manu","2019-2023","R.P. Nº 087-2013-SERNANP",2013-05-22,NA,1899-12-30,"R.P. N° 337-2018-SERNANP",2018-12-31,273370.45
"26","PN01","de Cutervo","2017-2021","R.P. Nº 175-2009-SERNANP",2009-09-24,NA,1899-12-30,"R.P. N° 031-2017-SERNANP",2017-01-31,19009.2
