"","Codigo","Area_natur","Periodo","Base_legal","Fecha_lega","Base_leg00","Fecha_le00","Base_leg01","Fecha_le01","Superficie"
"27","PN12","Ichigkat Muja-Cordillera del Cóndor","2019-2023","R.J. Nº 211-2007 INRENA",2007-09-12,NA,1899-12-30,"R.P. N° 338-2018-SERNANP",2018-12-31,138965.15
"28","RN14","Pucacuro","2019-2023","R.P. Nº 047-2013-SERNANP",2013-03-20,NA,1899-12-30,"R.P. N° 339-2018-SERNANP",2018-12-31,339499.85
"29","CC02","Sunchubamba",NA,"R.J. Nº 303-2001-INRENA",2001-12-13,NA,1899-12-30,NA,1899-12-30,28404.36
"30","PN06","del Río Abiseo","2014-2019","R.J. Nº 253 -2006 INRENA",2006-09-27,NA,1899-12-30,"R.P. N° 73-2014-SERNANP",2014-03-25,671363.75
"31","ZR03","Santiago Comaina",NA,"R.J. Nº 211-2007-INRENA",2007-09-12,NA,1899-12-30,NA,1899-12-30,117141.77
"32","ZR03","Santiago Comaina",NA,"R.J. Nº 211-2007-INRENA",2007-09-12,NA,1899-12-30,NA,1899-12-30,87651.54
"33","SH03","Machupicchu","2015-2019","R.P. Nº 070-2015-SERNANP",2015-04-17,NA,1899-12-30,NA,1899-12-30,133083.09
"34","RC03","Amarakaeri","2016-2020","R.P. N° 198-2016-SERNANP",2016-07-26,NA,1899-12-30,NA,1899-12-30,283545.59
"35","RC05","Machiguenga","2023-2027","R.P. N° 065-2017-SERNANP",2017-02-28,NA,1899-12-30,"R.P. N° 339-2022-SERNANP",2022-12-29,316383.5
"36","SN05","los Manglares de Tumbes","2023-2027","R.P. N° 063-2017-SERNANP",2017-02-28,NA,1899-12-30,"R.P. N° 064-2023-SERNANP",2023-02-17,5208.08
"37","RC05","Machiguenga","2023-2027","R.P. N° 065-2017-SERNANP",2017-02-28,NA,1899-12-30,"R.P. N° 339-2022-SERNANP",2022-12-29,6371.03
"38","RC05","Machiguenga","2023-2027","R.P. N° 065-2017-SERNANP",2017-02-28,NA,1899-12-30,"R.P. N° 339-2022-SERNANP",2022-12-29,197205.13
"39","SN07","Pampa Hermosa","2022-2027","R.P. Nº 213-2012-SERNANP",2012-12-28,NA,1899-12-30,"R.P. Nº 184-2022-SERNANP",2022-08-04,8652.24
"40","RVS01","Laquipampa","2015-2019","R.P. Nº 014-2015-SERNANP",2015-01-27,NA,1899-12-30,NA,1899-12-30,4622
"41","RVS02","Los Pantanos de Villa","2016-2020","R.J. Nº 358-2001-INRENA",2001-12-28,NA,1899-12-30,"R.P. N° 169-2016-SERNANP",2016-08-05,1047.22
"42","RN08","Pacaya-Samiria","2017-2021","R.J. Nº 173-2009 SERNANP",2009-09-24,NA,1899-12-30,"R.P. N° 273-2017-SERNANP",2017-11-30,1219807.51
"43","RN03","de Paracas","2016-2020","R.P. Nº 020-2016 SERNANP",2016-01-29,NA,1899-12-30,NA,1899-12-30,140885.51
"44","ZR01","Chancaybaños",NA,"R.J. Nº 337-2001-INRENA",2001-12-26,NA,1899-12-30,NA,1899-12-30,4045.57
"45","RC07","Tuntanain","2016-2020","R.J. Nº 211-2007 INRENA",2007-09-12,NA,1899-12-30,"R.P. N° 139-2016-SERNANP",2016-06-06,288188.56
"46","RC08","Chayu Naín",NA,"R.P. Nº 026-2011-SERNANP",2011-02-18,NA,1899-12-30,NA,1899-12-30,8236.84
"47","RC08","Chayu Naín",NA,"R.P. Nº 026-2011-SERNANP",2011-02-18,NA,1899-12-30,NA,1899-12-30,4153.8
"48","RVS03","Bosques Nublados de Udima","2015-2019","R.P. Nº 052-2015-SERNANP",2015-03-16,NA,1899-12-30,NA,1899-12-30,2994.3
"49","RVS03","Bosques Nublados de Udima","2015-2019","R.P. Nº 052-2015-SERNANP",2015-03-16,NA,1899-12-30,NA,1899-12-30,26.25
"50","RVS03","Bosques Nublados de Udima","2015-2019","R.P. Nº 052-2015-SERNANP",2015-03-16,NA,1899-12-30,NA,1899-12-30,1002.71
"51","RC02","El Sira","2015-2019","R.P. Nº 044-2009 SERNANP",2009-02-27,NA,1899-12-30,"R.P. N° 134-2015-SERNANP",2015-07-09,1095646.64
"52","SN03","Lagunas de Mejía","2015-2019","R.P. Nº 238-2015-SERNANP",2015-10-29,NA,1899-12-30,"R.P. N° 144-2020-SERNANP",2020-09-17,1880.5
"53","BP05","de Pagaibamba","2017-2021","R.J. Nº 306-2001-INRENA",2001-12-13,NA,1899-12-30,"R.P. N° 130-2017-SERNANP",2017-05-22,4100.13
"54","RN07","de Calipuy","2015-2019","R.P. Nº 032-2015-SERNANP",2015-02-18,NA,1899-12-30,NA,1899-12-30,36660.57
"55","SN02","de Calipuy","2015-2019","R.P. Nº 021-2015-SERNANP",2015-02-10,NA,1899-12-30,NA,1899-12-30,10506.92
"56","PN02","de Tingo María","2022-2026","R.P. N° 090-2017-SERNANP",2017-03-31,NA,1899-12-30,"R.P. Nº 027-2022-SERNANP",2022-01-20,4125.72
"57","CC01","El Angolo","2019-2023","R.P. N° 212-2012-SERNANP",2012-11-28,NA,1899-12-30,"R.P. N° 336-2018-SERNANP",2018-12-31,29583.14
"58","RC06","Purús","2019-2023","R.P. Nº 003-2013-SERNANP",1899-12-30,NA,1899-12-30,"R.P. N° 062-2019-SERNANP",2019-02-25,222423.17
"59","RN04","de Lachay","2019-2023","R.P. Nº 090-2013-SERNANP",2013-05-30,NA,1899-12-30,"R.P. N° 071-2019-SERNANP",2019-03-10,3354.05
"60","RP02","Subcuenca del Cotahuasi","2019-2023","R.P. Nº 163-2009 SERNANP",2009-09-15,NA,1899-12-30,"R.P. N° 079-2019-SERNANP",2019-03-14,485112.73
"61","RN15","San Fernando","2019-2024","R.P. Nº 118-2015-SERNANP",2015-06-19,NA,1899-12-30,"R.P. Nº 239-2019-SERNANP",2019-10-11,73256.14
"62","RN09","Tambopata","2019-2023","R.J. Nº 290-2005 INRENA",2005-12-06,"R.P. N° 240-2017-SERNANP",2017-10-02,"R.P. N° 035-2019-SERNANP",2019-01-29,15650.38
"63","RN09","Tambopata","2019-2023","R.J. Nº 290-2005 INRENA",2005-12-06,"R.P. N° 240-2017-SERNANP",2017-10-02,"R.P. N° 035-2019-SERNANP",2019-01-29,22027.06
"64","RN09","Tambopata","2019-2023","R.J. Nº 290-2005 INRENA",2005-12-06,"R.P. N° 240-2017-SERNANP",2017-10-02,"R.P. N° 035-2019-SERNANP",2019-01-29,193877.91
"65","PN10","Otishi","2016-2020","R.P. N° 290-2016-SERNANP",2016-10-31,NA,1899-12-30,NA,1899-12-30,38887.63
"66","PN11","Alto Purús","2019-2023","R.P. Nº 238-2012-SERNANP",2012-12-28,NA,1899-12-30,"R.P. N° 087-2019-SERNANP",2019-04-04,632382.65
"67","PN11","Alto Purús","2019-2023","R.P. Nº 238-2012-SERNANP",2012-12-28,NA,1899-12-30,"R.P. N° 087-2019-SERNANP",2019-04-04,867663.35
"68","PN11","Alto Purús","2019-2023","R.P. Nº 238-2012-SERNANP",2012-12-28,NA,1899-12-30,"R.P. N° 087-2019-SERNANP",2019-04-04,202033.34
"69","RN05","del Titicaca","2021-2025","R.P. N° 038-2021-SERNANP",2021-02-12,NA,1899-12-30,NA,1899-12-30,164565.27
"70","PN15","Yaguas","2021-2025","R.P. Nº 085-2021-SERNANP",2021-04-23,NA,1899-12-30,NA,1899-12-30,241073.13
"71","PN07","Yanachaga-Chemillén","2022-2026","R.P. N° 011-2022-SERNANP",2022-01-13,NA,1899-12-30,NA,1899-12-30,60785.61
"72","SN06","Megantoni","2022-2026","R.P. Nº 024-2022-SERNANP",2022-01-20,NA,1899-12-30,NA,1899-12-30,128192.77
"73","SN06","Megantoni","2022-2026","R.P. Nº 024-2022-SERNANP",2022-01-20,NA,1899-12-30,NA,1899-12-30,77891.55
"74","RC09","Airo Pai","2022-2026","R.P. N° 058-2022-SERNANP",2022-02-16,NA,1899-12-30,NA,1899-12-30,62423.85
"75","BP04","San Matias-San Carlos","2023-2027","R.P. N° 268-2015-SERNANP",2015-11-27,NA,1899-12-30,"R.P. N° 332-2022-SERNANP",2022-12-29,128479.57
"76","RC01","Yanesha","2017-2021","R.J. Nº 129-2011-SERNANP",2011-07-01,NA,1899-12-30,"R.P. N° 346-2016-SERNANP",2016-12-29,51379.07
"77","BP06","Alto Mayo","2023-2027","R.P. Nº 069-2023-SERNANP",2023-02-27,NA,1899-12-30,NA,1899-12-30,222953.88
"78","RP01","Nor Yauyos-Cochas","2022-2027","R.J. Nº 194-2006 INRENA",2006-07-20,NA,1899-12-30,"R.P. N° 264-2022-SERNANP",2022-11-15,109438.36
"79","RC10","Huimeki","2023-2027","R.P N° 080-2023-SERNANP",2023-03-01,NA,1899-12-30,NA,1899-12-30,5499.98
"80","RC10","Huimeki","2023-2027","R.P N° 080-2023-SERNANP",2023-03-01,NA,1899-12-30,NA,1899-12-30,16655.73
